Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
212,4.863,1676.0,23.46,3066.0,100.0,0.001,714.0,0.41,4.864,1257.04,1151.19,false
213,4.851,1709.0,29.32,3068.0,99.74,0.0,713.0,0.63,4.851,1251.32,1156.55,false
214,4.847,1673.0,17.76,3066.0,100.0,0.0,0.0,0.0,4.847,1250.98,1152.69,false
215,4.808,1683.0,23.44,3068.0,99.69,0.003,713.0,0.63,4.811,1256.36,1147.51,false
216,4.835,1645.0,18.89,3066.0,100.0,0.0,0.0,0.0,4.835,1241.45,1154.28,false
217,4.828,1675.0,20.79,3067.0,99.92,0.0,0.0,0.0,4.828,1244.91,1151.36,false
218,4.848,1694.0,19.88,3066.0,100.0,0.0,0.0,0.0,4.848,1250.2,1144.07,false
219,4.859,1673.0,19.33,3066.0,100.0,0.0,0.0,0.0,4.859,1259.16,1160.37,false
220,4.836,1684.0,20.95,3067.0,99.81,0.0,0.0,0.0,4.836,1259.35,1148.66,false
221,4.787,1670.0,23.09,3069.0,99.7,0.0,0.0,0.0,4.787,1238.3,1153.53,false
222,4.821,1669.0,21.04,3067.0,99.86,0.0,0.0,0.0,4.821,1250.14,1151.86,false
223,4.869,1670.0,19.64,3066.0,100.0,0.0,0.0,0.0,4.869,1257.65,1151.04,false
224,4.855,1680.0,21.03,3066.0,100.0,0.0,0.0,0.0,4.855,1276.68,1152.33,false
225,4.845,1652.0,16.16,3066.0,100.0,0.0,0.0,0.0,4.845,1260.45,1151.48,false
226,4.816,1664.0,20.65,3068.0,100.0,0.0,0.0,0.0,4.816,1239.05,1152.91,false
227,4.847,1675.0,21.15,3067.0,100.0,0.0,0.0,0.0,4.847,1254.51,1152.65,false
228,4.872,1685.0,20.95,3066.0,100.0,0.0,0.0,0.0,4.872,1273.3,1152.84,false
229,4.843,1695.0,21.83,3067.0,99.8,0.0,0.0,0.0,4.843,1249.47,1151.48,false
230,4.848,1685.0,21.01,3067.0,99.86,0.0,0.0,0.0,4.848,1269.29,1151.99,false
231,4.742,1708.0,25.84,3071.0,99.33,0.0,0.0,0.0,4.742,1235.12,1150.9,false
232,4.802,1677.0,22.67,3070.0,99.82,0.0,0.0,0.0,4.802,1239.85,1151.88,false
233,4.835,1689.0,20.69,3067.0,99.86,0.0,0.0,0.0,4.835,1250.19,1150.37,false
234,4.812,1698.0,22.52,3068.0,99.88,0.0,0.0,0.0,4.812,1251.78,1146.88,false
235,4.843,1664.0,21.39,3068.0,100.0,0.0,0.0,0.0,4.843,1256.41,1155.14,false
236,4.862,1691.0,19.14,3066.0,100.0,0.0,0.0,0.0,4.862,1260.1,1151.52,false
237,4.864,1668.0,19.8,3066.0,100.0,0.0,0.0,0.0,4.864,1258.89,1151.56,false
238,4.874,1690.0,19.15,3066.0,100.0,0.0,0.0,0.0,4.874,1261.9,1150.55,false
239,4.859,1666.0,17.22,3066.0,100.0,0.0,0.0,0.0,4.859,1257.3,1150.76,false
240,4.858,1664.0,19.53,3066.0,100.0,0.0,0.0,0.0,4.858,1259.27,1150.82,false
241,4.802,1688.0,23.38,3069.0,99.73,0.0,0.0,0.0,4.802,1247.59,1156.39,false
242,4.907,1680.0,31.56,3066.0,100.0,0.0,0.0,0.0,4.907,1260.63,1150.02,false
243,4.846,1682.0,20.92,3067.0,99.85,0.0,0.0,0.0,4.846,1257.64,1151.54,false
244,4.829,1683.0,19.47,3067.0,99.88,0.001,714.0,0.41,4.83,1245.48,1153.93,false
245,4.807,1653.0,19.39,3068.0,99.69,0.0,0.0,0.0,4.807,1249.71,1151.51,false
246,4.877,1649.0,19.57,3066.0,100.0,0.0,0.0,0.0,4.877,1266.37,1151.7,false
247,4.854,1698.0,19.06,3066.0,100.0,0.0,0.0,0.0,4.854,1240.32,1152.01,false
248,4.852,1668.0,20.73,3067.0,100.0,0.0,0.0,0.0,4.852,1253.45,1154.64,false
249,4.846,1685.0,22.09,3067.0,99.86,0.0,0.0,0.0,4.846,1260.55,1151.07,false
250,4.777,1702.0,25.34,3070.0,99.56,0.0,0.0,0.0,4.777,1245.74,1145.3,false
